Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
830002,"PVC COUPLING 1/4"" NPT",LASCO,700,100,0,Hardware & Fittings,Fitting / Valve,,,,
838210,"REDUCER BUSHING-1.5"" M X 3/4""",VNE,700,1,0,Electrical & Wiring,Electrical Component,,,,
850002,"1/4"" NPT PVC PIPE PLUG",lasco,700,4,0,Electrical & Wiring,Electrical Component,,,,
915030,PDO083-TZ-15 8.3 DOME,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
915454,PTH055-AB-12 5.5,HAYWAR,700,10,0,Hardware & Fittings,Hardware Component,,,,
938724,"15"" X 1500 'STRETCH FILM 90GA",CONTIN,400,25,0,Packaging & Labeling,Packaging,,,,
995314,BSB062-TZ 6.2,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
995407,FRF057-TB FLOOD REFLECTOR,HAYWAR,700,61,0,Hardware & Fittings,Hardware Component,,,,
995502,BCB065-AB 6.5,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
997015,TR15SS1-INT-150,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
998140,DMT027-TB 2.7,HAYWAR,700,2,0,Hardware & Fittings,Hardware Component,,,,
998141,DMT027-TZ 2.7,HAYWAR,700,92,28,Hardware & Fittings,Hardware Component,,,,
998142,DMT027-AB 2.7 DECK MOUNT,HAYWAR,700,10,0,Hardware & Fittings,Hardware Component
